pk,github_url
370,https://github.com/stake-capital/research/blob/master/Stake_Capital_DAO_Light_Paper.pdf
768,https://github.com/adrianmcli/eth95
2237,https://github.com/klarkc/ssb-bot-feed
3277,['https://github.com/deni64k']
1712,['https://github.com/ytdl-org/youtube-dl']
1047,https://github.com/intellij-solidity/intellij-solidity
2273,https://github.com/michielpost/SiaSkynet
1988,"['https://github.com/mark3labs/louper-v2', 'https://github.com/mark3labs/louper']"
413,"['https://github.com/scco/fusion', 'https://github.com/scco/fusion']"
36,https://github.com/MolochVentures
2079,"['https://github.com/cryptotuxorg/cryptotux', 'https://github.com/cryptotuxorg/cryptotux', 'https://github.com/cryptotuxorg/cryptotux', 'https://github.com/Xalava', 'https://github.com/kurthalex']"
111,https://github.com/poanetwork
1908,"['https://github.com/monzanifabio/cryptofont', 'https://github.com/monzanifabio/cryptoicons', 'https://github.com/monzanifabio/cryptofonts-utils']"
3510,['https://github.com/defiwrapper/defiwrapper']
3602,['https://github.com/web3learn']
4170,https://github.com/0xNuggan
2103,"['https://github.com/opentaps', 'https://github.com/opentaps/open-climate-investing']"
1499,['https://github.com/AtsKotzen/TaoDAO']
787,['https://github.com/qonico']
3753,https://github.com/yubiai/marketplace
2918,https://github.com/Moloch-Mystics/Baal
534,['https://github.com/bitquery']
3806,https://github.com/cliffniff/power-search
2229,['https://github.com/depayfi']
1058,['https://github.com/Adamant-im']
516,https://github.com/interspacechat/interspace.chat/
2326,"['https://github.com/dogracer/hodl-totals', 'https://github.com/dogracer', 'https://github.com/dogracer/hodl-totals']"
3522,"['https://github.com/ceramicstudio/datamodels', 'https://github.com/KrebitDAO/eip712-vc', 'https://github.com/KrebitDAO/krb-contracts', 'https://github.com/KrebitDAO/krb-subgraph']"
461,['https://github.com/aleph-im']
1352,['https://github.com/Machinalabs?q=&type=source']
4312,https://github.com/Omni-Analytics-Group/uniswappeR
1141,https://github.com/1Hive/conviction-voting-cadcad
1682,https://github.com/rhinobobz
2209,['https://github.com/Spider333']
2851,https://github.com/scaffold-eth/scaffold-eth
3457,https://github.com/stake-house/eth-wizard
2111,https://github.com/BytesIO/Blockchain-x
1043,https://github.com/rgab1508/CryptoCRIT
846,['https://github.com/CR8-is-money/CR8.']
2369,https://github.com/androolloyd
1625,['https://github.com/PrimitivesLane']
96,['https://github.com/vault713/wallet713']
913,https://github.com/dappkit/aviondb
32,['https://github.com/vipnode/vipnode']
426,"['https://github.com/AeroRust/WorkingGroup', 'https://github.com/AeroRust']"
1014,['https://github.com/AkashickVerse']
799,"['https://github.com/Evert0x/Telegram', 'https://github.com/Evert0x/AaveBot', 'https://github.com/Evert0x/ENSbot', 'https://github.com/Evert0x/MapperBot']"
1613,https://github.com/yieldster
248,https://github.com/NoahZinsmeister/web3-react
2425,https://github.com/drrajeb
796,https://github.com/sunnyRK/Money-legos-InstCryp-Biconomy
705,https://github.com/haael/white-box-fapkc
858,['https://github.com/Curve-Labs']
1228,['https://github.com/buidlin']
1375,['https://github.com/usmfum/USM.']
255,https://github.com/dOrgTech/BC-DAO
246,https://github.com/CryptoManiacsZone/1inchProtocol
145,https://github.com/dmihal/burner-wallet-2
659,"['https://github.com/EstoniaDAO/EstoniaDAO.github.io', 'https://github.com/EstoniaDAO/EstoniaDAO.github.io']"
1403,['https://github.com/Geo-Web-Project']
943,https://github.com/paulrberg/create-eth-app
2696,https://github.com/vincenth520/pinche_xcx
3533,['https://github.com/newsroom-xyz']
959,['https://github.com/0confirmation/0confirmation']
373,['https://github.com/nymtech/nym']
496,https://github.com/luzzif/ethereum-contacts-registry
315,['https://github.com/kwikiel/trates']
1155,['https://github.com/CommonsBuild/commons-config-proposals']
1355,['https://github.com/gorgos']
2271,['https://github.com/kotalco']
627,['https://github.com/VeriSafe/VeriDex']
885,['https://github.com/blockaction']
614,['https://github.com/EthDenverHakcers']
2790,"['https://github.com/xandronus/linkfit', 'https://github.com/xandronus/linkfit']"
4142,['https://github.com/electrone901/education-nft']
566,https://github.com/Struka9/Shy-Panda
508,https://github.com/dadahaha2020?tab=projects
456,['https://github.com/buidlin']
980,['https://github.com/zeriontech/defi-sdk']
1999,https://github.com/nollied/agg-stablecoin
736,https://github.com/mara-schmiedt/GoTrace
3432,https://github.com/thibseisel/android-odeon/issues/23
544,"['https://github.com/lazaruslabs/culturestake', 'https://github.com/lazaruslabs/culturestake-contracts', 'https://github.com/lazaruslabs/culturestake-subgraph', 'https://github.com/lazaruslabs/culturestake-provisioning']"
385,https://github.com/btcven/locha
931,['https://github.com/cinnabarhorse/yieldhero']
470,https://github.com/ridesolo/staking-library
2957,https://github.com/WETH10/WETH10
3463,https://github.com/vincenth520/opencart_Extensions
3058,['https://github.com/Mirmit/open-social-network']
66,['https://github.com/social-dist0rtion-protocol']
3075,https://github.com/wally000
2085,https://github.com/PrclvETH
308,['https://github.com/cadCAD-org']
188,['https://github.com/EthDevTools/ethdevtools']
509,['https://github.com/ONEARMY/community-platform']
2075,['https://github.com/Sygmei/ObEngine']
803,"['https://github.com/Alef-Compound', 'https://github.com/Alef-Compound']"
2941,"['https://github.com/argosopentech/argos-translate#installation', 'https://github.com/argosopentech/argos-translate']"
1534,https://github.com/prettier-solidity/prettier-plugin-solidity
3670,"['https://github.com/jbaicoianu/janusweb', 'https://github.com/janusxr-examples', 'https://github.com/madjin/janus-guide']"
1855,"['https://github.com/stereum-dev', 'https://github.com/stereum-dev']"
4038,https://github.com/dethcrypto
4087,['https://github.com/show-karma/reputation-scores']
227,['https://github.com/craze3/blockspy-metamask-plugin']
3600,https://github.com/unicast-project
608,"['https://github.com/vbstreetz/signatory-client', 'https://github.com/vbstreetz/signatory-client']"
3437,https://github.com/aboutlo/ether-swr
817,"['https://github.com/ConsenSys/blockchainSecurityDB', 'https://github.com/ConsenSys/blockchainSecurityDB#add-or-update-a-project', 'https://github.com/ConsenSys/blockchainSecurityDB', 'https://github.com/ConsenSys/0x-review', 'https://github.com/ConsenSys/0x_audit_report_2018-07-23', 'https://github.com/ConsenSys/0x-audit-report-2018-12']"
2575,['https://github.com/DefiLab-xyz/uniswap-v3-backtest']
2101,['https://github.com/hyphacoop/api.distributed.press']
2616,"['https://github.com/aybehrouz/argennon', 'https://github.com/Argennon-Project']"
178,"['https://github.com/vporton/xml-boiler-java', 'https://github.com/vporton/xml-boiler.', 'https://github.com/vporton/xml-boiler']"
256,['https://github.com/flex-dapps/enzypt']
1891,['https://github.com/FiniteYFI/FiniteYFI']
2676,['https://github.com/overthq']
2351,https://github.com/datafreak11
15,"['https://github.com/ethresearch/sharding-p2p-poc', 'https://github.com/ethereum/ethsim', 'https://github.com/canto-ethereum', 'https://github.com/whiteblock/hobbits']"
1650,['https://github.com/tog-ETH-er/tog-eth-er.github.io']
455,"['https://github.com/nushell/nushell', 'https://github.com/starship/starship']"
1599,['https://github.com/givestation']
809,"['https://github.com/ethereum/wiki', 'https://github.com/trufflesuite/ganache', 'https://github.com/trufflesuite/truffle']"
2402,['https://github.com/PicnicNetwork']
4290,https://github.com/PhaethonPsychis/web3worlds
762,https://github.com/SmartAuditNetwork
1102,['https://github.com/AstralProtocol']
2455,['https://github.com/InsideTheSim/ethmerge.com-content']
526,['https://github.com/protofire/gnosis-conditional-exchange']
3451,"['https://github.com/w3c/webappsec-subresource-integrity', 'https://github.com/w3c/webappsec-subresource-integrity']"
843,['https://github.com/uprtcl/js-uprtcl']
3474,['https://github.com/orugaagii/ReapExchange']
578,https://github.com/bneiluj/covid-19-open-source-ventilators/blob/master/README.md
3718,['https://github.com/super-XEROX/20210702-superxerox']
592,https://github.com/kframework/wasm-semantics
177,https://github.com/vporton/carbon-flow
733,['https://github.com/TomAFrench/NoteStream']
4048,"['https://github.com/winternewt', 'https://github.com/antonkulaga', 'https://github.com/Lady3mlnm', 'https://github.com/OlgaBorysova', 'https://github.com/karchinLab/open-cravat']"
1089,['https://github.com/GemTrackerClub']
3791,https://github.com/kdr-aus/ogma
87,https://github.com/Amxx/KitsuneWallet-ERC1836
232,https://github.com/rairyx/raven
2038,https://github.com/Moloch-Mystics
1561,['https://github.com/ethstaker-core']
468,['https://github.com/tog-ETH-er']
1621,https://github.com/hjubb/solt
74,https://github.com/FEMBusinessModelsRing/web3_revenue_primitives/
247,['http://github.com/ricburton']
142,https://github.com/NethermindEth/nethermind
1121,"['https://github.com/BitskiCo/bitski-js', 'https://github.com/gnosis/safe-contracts']"
280,['https://github.com/fairDataSociety/Fairdrop']
3019,https://github.com/ruirzma/indoor3D
2191,['https://github.com/Department-of-Decentralization/Ecosystem-Job-Openings']
530,"['https://github.com/0xearth-tech', 'https://github.com/0xearth-tech']"
547,"['https://github.com/moibit/tracy-mobile-app', 'https://github.com/moibit/tracy-mobile-app']"
278,https://github.com/abstractpoint
3876,https://github.com/VladKochetov007/quick_trade
2743,"['https://github.com/Quillhash/Audit_Reports', 'https://github.com/Quillhash/Audit_Reports']"
2112,https://github.com/stake-house/wagyu
773,['https://github.com/oya-protocol/oya-market']
653,https://github.com/opengsn/gsn
549,https://github.com/enigmampc/covid-self-reporting
1949,"['https://github.com/genesisdotre/network-state-genesis', 'https://github.com/MetaMask/metamask-extension']"
490,['http://github.com/poapxyz']
137,"['https://github.com/status-im/nimbus-eth1', 'https://github.com/status-im/nimbus-eth2', 'https://github.com/status-im/nim-libp2p', 'https://github.com/status-im/nim-blscurve', 'https://github.com/status-im/nim-waku', 'https://github.com/status-im/nim-quic', 'https://github.com/cheatfate/nimcrypto', 'https://github.com/status-im/nim-chronicles', 'https://github.com/status-im/nim-chronos', 'https://github.com/status-im/nim-web3', 'https://github.com/status-im/nim-rlp', 'https://github.com/status-im/nim-eth-contracts', 'https://github.com/status-im/nim-json-rpc', 'https://github.com/status-im/nim-stint', 'https://github.com/status-im/nim-libbacktrace', 'https://github.com/status-im/nim-ethash', 'https://github.com/status-im/nim-eth', 'https://github.com/status-im/nimbus-docs-suite', 'https://github.com/status-im/nim-presto']"
3251,"['https://github.com/Quillhash/Audit_Reports', 'https://github.com/stakeall/cross-chain-staking-shuttle', 'https://github.com/stakeall']"
4143,https://github.com/wslyvh
4263,https://github.com/dfarchon
321,['https://github.com/jpaulet/dcrm']
818,['https://github.com/bossyuansu/metis']
2396,https://github.com/patcito
554,https://github.com/jpaulet/comunitas
3610,['https://github.com/PlanetaryCouncil']
107,['https://github.com/orgs/ssbc']
25,https://github.com/sigp/lighthouse
3979,['https://github.com/sourcecred']
556,['https://github.com/Department-of-Decentralization/Ecosystem-Job-Openings']
570,['https://github.com/EthDenverHakcers']
471,https://github.com/whiterabbit-hq
1134,https://github.com/koushikbhargav/urbanbowl
2785,"['https://github.com/hyperledger/besu', 'https://github.com/ledgerwatch/erigon']"
323,"['https://github.com/mosendo/gasless.js', 'https://github.com/mosendo/gasless']"
2119,['https://github.com/argoapp-live']
2906,['https://github.com/babel/babel']
2468,https://github.com/silviopaganini/nft-market
4019,"['https://github.com/RainbowDAO', 'https://github.com/RainbowDAO']"
3891,https://github.com/WeLightProject/Web3-dApp-Camp/discussions
150,"https://github.com/phDooY/cryptocards-solidity
https://mccardi.com/"
3112,https://github.com/TaioTech/ehr-token
3094,['https://github.com/harej/hackerpaste']
3337,"['https://github.com/BoskeDAO', 'https://github.com/BoskeDAO']"
538,['https://github.com/zoek1/gister']
1685,https://github.com/snowzxf/myapp
519,['https://github.com/rtoken-project']
2631,['https://github.com/uniswap-python']
167,https://github.com/glowkeeper/Provenator
185,"['https://github.com/ethereum/EIPs', 'https://github.com/naturaldao/EIPs']"
575,https://github.com/GetLoginEth/
2470,"['https://github.com/ManyUses/fungyproof-sdk', 'https://github.com/manyuses/fungyproof-sdk']"
976,https://github.com/Thomosheee
1966,"['https://github.com/open-rpc', 'https://github.com/etclabscore/expedition', 'https://github.com/xops/documint', 'https://github.com/ethereum-oasis/eth1.x-JSON-RPC-API-standard']"
180,https://github.com/vporton/world-incentive
1742,https://github.com/remedcu/Inherichain
2516,['https://github.com/CympleTech/esse']
2166,['https://github.com/safient']
916,['https://github.com/FreezingMoon/AncientBeast']
1815,['https://github.com/buidlin']
306,['https://github.com/f12network']
842,['https://github.com/uprtcl/js-uprtcl']
2871,['https://github.com/martriay/flashbots-explorer']
1670,"['https://github.com/wighawag/hardhat-deploy', 'https://github.com/wighawag/jolly-roger', 'https://github.com/wighawag/web3w', 'https://github.com/wighawag/eip721-subgraph', 'https://github.com/wighawag/transfer-gateway', 'https://github.com/wighawag/erc721-lease']"
1060,https://github.com/defi-is-bullshit
3336,https://github.com/abhi3700/ProFi/wiki
588,['https://github.com/atstake/atstake']
172,https://github.com/zeropoolnetwork
480,"['https://github.com/TripleSpeeder/token-allowance-checker', 'https://github.com/TripleSpeeder/token-allowance-checker', 'https://github.com/TripleSpeeder/token-allowance-checker', 'https://github.com/TripleSpeeder/token-allowance-checker', 'https://github.com/TripleSpeeder/token-allowance-checker']"
2232,['https://github.com/33357/coinerchat-contract-public']
2477,https://github.com/publicViewToken/ideagogo
4303,['https://github.com/code4charity/YouTube-Extension']
4053,['https://github.com/GlossetaFoundation/glosseta']
3595,['https://github.com/novifinancial/winterfell']
3810,"['https://github.com/khaaliDimaag/babelsphere', 'https://github.com/thisispalash/tampopo']"
1055,https://github.com/manishdangi98/hack36_sentinel
2974,https://github.com/ethereum-lists
1657,https://github.com/paulrberg
864,https://github.com/apguerrera/DutchSwap
2588,['https://github.com/autonomous-interdependent-repositories/AIRport']
972,https://github.com/wighawag/hardhat-deploy
169,['https://github.com/alicedapp/AliceX']
821,https://github.com/ScopeLift/umbra-protocol
611,https://github.com/daodesigner
447,https://github.com/SporkHubr
676,['https://github.com/owlboy/greatpug-public']
1463,https://github.com/HandyMiner
3414,https://github.com/rebase-network/Dapp-Learning
992,"['https://github.com/octavioamu', 'https://github.com/octavioamu']"
2753,https://github.com/matimaone1/cryptokids
3371,https://github.com/bkrem/awesome-solidity
1559,https://github.com/anclrii/Storj-Exporter
2053,https://github.com/massnomis
629,['https://github.com/dev-protocol/protocol']
17,https://github.com/ethereum/web3.py/issues/1161
258,"['https://github.com/gobitfly/eth2-beaconchain-explorer', 'https://github.com/gobitfly/eth2-beaconchain-explorer-app']"
930,['https://github.com/atstake/atstake']
2823,"['https://github.com/cheerbotme/pixelart', 'https://github.com/cheerbotme']"
3701,https://github.com/zlq4863947/triangular-arbitrage2
2451,"['https://github.com/paulmillr', 'https://github.com/paulmillr']"
113,['https://github.com/gitcoinco/web']
1585,https://github.com/vporton/seethetruth
384,['https://github.com/diglos/ethereumonarm']
1005,['https://github.com/yieldfarming/yieldfarming']
1950,https://github.com/kungfuant
54,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-1057.md
1151,https://github.com/Daft-Wullie?tab=overview
312,https://github.com/calchulus/SCUBI-DOOS
1699,['https://github.com/AllCryptoWPs/allcryptowhitepapers.']
2316,https://github.com/ownership-labs
4164,https://github.com/EDGDrummond/DeVo/blob/main/DeVo.pdf
3631,['https://github.com/stendhal-labs/collab-splitter.']
403,['https://github.com/TrueLevelSA/swap-box']
968,https://github.com/emeraldpay/dshackle
2281,https://github.com/vasa-develop/cross-asset-swap
1884,https://github.com/cawfree
3329,['https://github.com/Pabsysop']
1090,"['https://github.com/TokenizedTweets/chrome-extension', 'https://github.com/TokenizedTweets/chrome-extension']"
660,https://github.com/esteemapp
62,https://github.com/Bhargavasomu
3401,https://github.com/rezahsnz/readaratus
141,['https://github.com/primeradiant/MetaMoneyMarket']
537,https://github.com/teamqed
1424,['https://github.com/cranders1/Unlock_AmwFund']
770,https://github.com/rkalis/liquidefi
780,https://github.com/agnelvishal/Search-engine-for-Blockchain-Domains
4144,['https://github.com/dorahacksglobal']
358,https://github.com/skywinder/web3swift
4232,['https://github.com/grjte/zk-mafia']
2239,['https://github.com/InsideTheSim/RatioGang.com']
888,https://github.com/eth-brownie/brownie
460,"['https://github.com/realcodecamp', 'https://github.com/RealCodeCamp']"
3012,"['https://github.com/shreyaspapi', 'https://github.com/shreyaspapi']"
3759,['https://github.com/Devzstudio/Web3UIKit']
1995,['https://github.com/Ralie-Network']
1619,['https://github.com/CommitPool']
4280,"['https://github.com/snowtigersoft/darksea-market', 'https://github.com/snowtigersoft/darksea-market']"
3150,https://github.com/OffcierCia/DeFi-Developer-Road-Map
462,['https://github.com/save-dai']
3364,['https://github.com/blockscout/blockscout']
445,"['https://github.com/amiyatulu/shivarthu', 'https://github.com/amiyatulu/simple_crowdfund']"
2469,https://github.com/misskey-dev/misskey
4121,https://github.com/499602D2/slashcaster
2571,https://github.com/willforge/fairTools
912,https://github.com/codynhat/ipfs-ios-backup
164,https://github.com/glowkeeper/ReportAid
2493,https://github.com/orgs/CoinsPortfolio
1785,https://github.com/luzzif/aragon-futarchy
2195,https://github.com/best-practicers
240,['https://github.com/ethsearch']
2993,https://github.com/gtbuilds/NorthLightProject/
2951,https://github.com/allemanfredi/simulereum
4181,['https://github.com/SAY-DAO']
1615,https://github.com/yieldster
1490,['https://github.com/ipfs/devgrants']
898,['https://github.com/genie-platform']
2642,['https://github.com/drum-n-bass/kinetics']
562,https://github.com/Omni-Analytics-Group/eth-data-science-course
1360,['https://github.com/gorgos']
3981,['https://github.com/stakenews.']
1729,https://github.com/emilianobonassi
3611,https://github.com/BlockDevsUnited/learn-and-earn
294,https://github.com/fifikobayashi
1422,"['https://github.com/kyokan/bob-wallet', 'https://github.com/kyokan/bob-wallet']"
184,['https://github.com/trueblocks/trueblocks-core']
22,https://github.com/ethereum/
290,https://github.com/hashcloak/Meson
802,['https://github.com/bossyuansu/metis']
1421,https://github.com/SpacesTemp/spaces-interface
845,https://github.com/blockvigil/bootcamp
1006,['https://github.com/b-u-i-d-l']
24,https://github.com/prysmaticlabs/prysm
